COVID-19 Vaccinations in the United States
Date generated: Mon Oct 17 2022 11:49:37 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with a first booster dose,Percent of completed primary series pop with a first booster dose,Residents 5+ with a first booster dose,Percent of completed primary series 5+ pop with a first booster dose,Residents 12+ with a first booster dose,Percent of completed primary series 12+ pop with a first booster dose,Residents 18+ with a first booster dose,Percent of completed primary series 18+ pop with a first booster dose,Residents 65+ with a first booster dose,Percent of completed primary series 65+ pop with a first booster dose,Residents with a second booster dose,Residents 50+ with a second booster dose,Percent of first booster dose 50+ pop with a second booster dose,Residents 65+ with a second booster dose,Percent of first booster dose 65+ pop with a second booster dose,Children <5 with at least one dose,People with an updated booster dose
District of Columbia,2394405,339271,414557,1774892,251491,1614618,279548,765017,95,676551,95,576442,81.7,515795,89.3,1493125,N/A,826580,N/A,72700,2000,0,39554,640102,N/A,1091841,N/A,112,3283,109445,95,90310,95,333852,382231,2741380,715148,95,544226,1690584,277257,392684,752688,95,570171,86.3,1753368,265509,362579,264249,45.8,264226,46.3,257856,47.4,247700,48,63867,70.7,N/A,53402,43.6,31668,49.6,N/A,N/A
Dept of Defense,7300210,N/A,N/A,9030623,N/A,8344079,N/A,4589704,N/A,4221864,N/A,3644628,N/A,3375266,N/A,4680570,N/A,2381140,N/A,210700,27800,0,327523,2947518,N/A,5708602,N/A,2194,44786,475551,0,250740,0,851335,0,0,4476555,0,3574207,8836721,0,0,4579755,0,3642779,0,9015400,0,0,956696,26.2,956636,26.3,949966,26.6,912192,27,98954,39.5,N/A,69993,24.9,31524,31.9,N/A,N/A
Delaware,2902555,298076,376861,2005782,205982,1818271,236080,839722,86.2,752228,95,698543,71.7,627235,81.4,1692155,N/A,1105200,N/A,101600,3600,0,63002,769133,N/A,1170928,N/A,100,2619,219560,95,188895,95,639430,338491,1536510,804194,95,671677,1935819,230508,345622,835799,90.9,697214,75.9,1998245,217426,315823,344388,49.3,344386,49.4,340482,50.7,326288,52,136960,72.5,N/A,96891,42,68349,49.9,N/A,N/A
Florida,55789185,259754,323457,40077981,186602,37148576,215381,17470934,81.3,15985376,92.7,14728777,68.6,13527554,78.4,32846065,N/A,20455820,N/A,2450000,37300,0,1498958,14844478,N/A,23569623,N/A,2294,162628,4876010,95,4184909,93.1,13518343,300586,1240490,16979065,90.8,14354424,39154179,209425,298401,17432455,85.7,14715274,72.4,40015206,196751,274310,6302642,42.8,6302487,42.8,6269985,43.7,6105238,45.1,2713169,64.8,N/A,1521835,34.3,1093198,40.3,N/A,N/A
Federated States of Micronesia,247000,241400,370182,180863,176762,128809,193047,81600,79.7,54962,82.4,68594,67,49125,73.6,112960,N/A,121240,N/A,12800,0,0,13795,102622,N/A,64295,N/A,0,151,4157,86.4,3844,79.9,10407,216272,5133000,65775,83.1,57880,151181,191025,312097,79137,85.3,68458,73.8,177935,191697,266104,34054,49.6,34053,49.7,31552,54.5,29054,59.1,2576,67,N/A,3292,34.9,884,34.3,N/A,N/A
Georgia,25782455,242832,317771,16055560,151219,14597195,179911,7140482,67.3,6392271,78.8,5985125,56.4,5407356,66.6,15000355,N/A,9893200,N/A,858300,30600,0,346349,6218397,N/A,9440643,N/A,989,49182,1471875,95,1295569,85.4,4033396,265888,1699620,6874773,76.5,5798664,15555221,173065,286851,7112539,71.4,5977847,60,16009143,160721,258838,2495371,41.7,2495234,41.7,2473456,42.7,2390065,44.2,834579,64.4,N/A,488599,31.4,311990,37.4,N/A,N/A
Guam,354460,210376,309453,379153,225031,324581,283368,156836,93.1,130422,95,142506,84.6,120283,95,231080,N/A,98780,N/A,24300,300,0,13657,119583,N/A,245213,N/A,16,684,17886,95,16885,95,54902,341834,2206960,146699,95,134799,360211,274309,269929,156516,95,142458,93.3,378672,247885,232036,74053,52,74052,52,73425,54.5,68644,57.1,13676,81,N/A,12655,36.4,6362,46.5,N/A,N/A
Hawaii,4153980,293387,372219,3279502,231624,2931250,262656,1275335,90.1,1113296,95,1138633,80.4,997449,89.4,2443860,N/A,1582320,N/A,124800,3000,0,71510,1209545,N/A,1997223,N/A,171,1053,277452,95,254705,94.9,902292,336114,1547410,1203422,95,1079187,3135240,258873,342990,1266183,95,1134931,85.3,3264016,245294,312176,659973,58,659955,58.1,649741,60.2,618023,62,211960,83.2,N/A,193033,50.4,124628,58.8,N/A,N/A
Iowa,8181055,259299,336914,5607726,177737,5099892,210025,2196438,69.6,1958377,80.7,1999788,63.4,1794266,73.9,4784735,N/A,3090820,N/A,292600,12900,0,180498,2199414,N/A,3226090,N/A,319,1405,556969,95,525065,95,1785168,322842,1479520,2097490,78.4,1919789,5407411,202049,305687,2182906,73.8,1995356,67.4,5583742,188676,276440,1111786,55.6,1111776,55.7,1097957,57.2,1058734,59,424797,80.9,N/A,314128,43.7,223235,52.6,N/A,N/A
Idaho,4189690,234445,312929,2669864,149399,2442786,182452,1123455,62.9,1010053,75.4,993764,55.6,895433,66.9,2395110,N/A,1621480,N/A,159600,13500,0,89900,1007040,N/A,1567945,N/A,232,4747,282628,95,258671,89,825391,283962,1441390,1081508,72.3,959716,2589477,173162,280171,1118863,67,992301,59.4,2661940,159315,250750,462254,46.5,462253,46.6,457361,47.7,441449,49.3,183424,70.9,N/A,116565,38.6,82938,45.2,N/A,N/A
Indian Health Svc,3557995,170826,N/A,2403601,115402,2095230,N/A,1135557,54.5,978173,N/A,898290,43.1,777310,N/A,1915415,N/A,1524880,N/A,111300,6400,0,41902,1105565,N/A,1255891,N/A,25,218,183403,0,145225,0,442410,0,0,1075543,0,855826,2293083,0,0,1129989,0,897323,0,2394918,0,0,314037,35,314011,35,308247,36,287498,37,77351,53.3,N/A,54481,31.8,29173,37.7,N/A,N/A
Illinois,33524975,264563,340219,24834742,195984,22074184,224014,9884280,78,8593344,87.2,8902330,70.3,7776603,78.9,20765935,N/A,11558440,N/A,1180100,20500,0,686232,8787463,N/A,15326245,N/A,1519,33283,1994743,95,1845354,90.3,6258596,306309,1640780,9307448,85.9,8428943,23672992,218430,309334,9805421,82.2,8869821,74.4,24698405,207116,281135,4927257,55.3,4927156,55.5,4846163,57.5,4614899,59.3,1495676,81.1,N/A,1220537,43.7,780536,52.2,N/A,N/A
Indiana,16442680,244239,318395,10484321,155734,9557302,185067,4273793,63.5,3825987,74.1,3843365,57.1,3473608,67.3,10112380,N/A,5698200,N/A,626200,5900,0,316614,3771511,N/A,6359860,N/A,288,36048,1033204,95,964061,88.8,3129881,288271,1514420,4095071,71.8,3710614,10140021,177738,288213,4256454,67.4,3838838,60.8,10457513,165627,260421,1888387,49.1,1888288,49.2,1869710,50.4,1802007,51.9,705992,73.2,N/A,392355,32.3,275681,39,N/A,N/A
Kansas,7331615,251659,331288,4972779,170691,4451949,201167,2177939,74.8,1921415,86.8,1865212,64,1656043,74.8,4269575,N/A,2783940,N/A,260500,17600,0,138327,1878017,N/A,2949129,N/A,364,6942,503905,95,453548,95,1427081,300130,1541920,2071894,84.5,1785591,4767674,194464,299042,2163694,79.3,1859931,68.2,4945577,181291,268756,877664,47.1,877636,47.2,866010,48.5,829744,50.1,322061,71,N/A,213589,39.1,150743,46.8,N/A,N/A
Kentucky,10747375,240559,310187,7036983,157509,6456408,186343,3031299,67.8,2742315,79.1,2626589,58.8,2387047,68.9,5982675,N/A,4364100,N/A,391100,9500,0,240416,2873914,N/A,3919810,N/A,251,2592,740409,95,661611,88.1,2064568,275069,1431910,2921128,76.7,2541898,6826330,179349,282367,3019487,72,2622588,62.5,7015705,167237,256191,1231913,46.9,1231884,47,1221584,48.1,1183228,49.6,469215,70.9,N/A,287089,35.2,197105,42,N/A,N/A
Louisiana,9486550,204065,266389,6646180,142966,6149375,172679,2894785,62.3,2632390,73.9,2538015,54.6,2331918,65.5,5282970,N/A,3867980,N/A,329300,6300,0,201599,2707393,N/A,3733135,N/A,433,3620,683088,92.2,643533,86.8,1946369,262660,1280200,2808528,71.6,2477705,6493716,165516,241799,2888406,66.4,2535962,58.3,6634935,152621,218216,1067127,42,1067044,42.1,1063097,42.9,1038741,44.5,437953,68.1,N/A,219646,29.5,153388,35,N/A,N/A
Massachusetts,20643070,299500,372639,16484143,239160,14668914,264796,7090616,95,6214575,95,5652789,82,4957305,89.5,12164090,N/A,7842080,N/A,628600,8300,0,408396,6485719,N/A,9588963,N/A,620,445,1486077,95,1187747,95,4038723,345387,1765370,6684951,95,5343374,15687799,260736,343094,7026195,95,5621194,86,16368143,250464,315878,3071822,54.3,3071777,54.6,3014460,56.4,2859822,57.7,868940,73.2,N/A,709324,42.3,443854,51.1,N/A,N/A
Maryland,19634870,324775,416788,13516541,223574,11930317,253244,5428680,89.8,4694100,95,4724984,78.2,4100314,87,12388510,N/A,6609860,N/A,614500,22000,0,369229,4883709,N/A,8240802,N/A,1018,21783,1036608,95,938151,95,3255857,339365,2046590,5101548,95,4460269,12854625,248981,380308,5380555,94.7,4702457,82.7,13426820,236232,345457,2597748,55,2597638,55.2,2548829,57.1,2409078,58.8,739647,78.8,N/A,711664,49,433303,58.6,N/A,N/A
Maine,4303050,320117,392840,3196330,237785,2914098,266038,1267463,94.3,1139522,95,1101085,81.9,990661,90.4,2492930,N/A,1646720,N/A,157800,5600,0,144855,1301167,N/A,1745542,N/A,184,4582,348590,95,298416,95,1054606,369693,1508440,1209509,95,1054104,3077659,259732,363146,1258590,95,1098039,85.7,3179875,248297,335999,650004,59,649998,59.2,641571,60.9,615416,62.1,239041,80.1,N/A,203819,48.8,139923,58.5,N/A,N/A
Marshall Islands,142580,183404,299985,92665,119197,68336,143777,42915,55.2,28779,60.6,34305,44.1,25397,53.4,55880,N/A,72800,N/A,12800,1100,0,3081,64737,N/A,24714,N/A,0,133,1599,42.8,1429,38.3,4352,116613,3820470,34684,60.5,29713,79686,138901,248531,41069,59.3,33849,48.9,90268,130449,206046,14863,43.3,14861,43.9,14844,50,13902,54.7,1014,71,N/A,1467,36.7,404,39.8,N/A,N/A
Michigan,26018310,260526,331742,17354411,173772,15875301,202416,6846613,68.6,6162945,78.6,6145649,61.5,5544478,70.7,14795590,N/A,10241220,N/A,961200,20300,0,471816,6811369,N/A,10067523,N/A,772,2931,1734831,95,1592775,90.2,5274176,298752,1473790,6565514,76.4,5908959,16784183,195278,302714,6823840,72.4,6137913,65.2,17313909,183791,276191,3500622,57,3500587,57,3461543,58.6,3335404,60.2,1250873,78.5,N/A,910042,41.2,615694,49.2,N/A,N/A
Minnesota,15855560,281145,365632,11572629,205202,10280635,237074,4363614,77.4,3777061,87.1,4000438,70.9,3486091,80.4,9834240,N/A,5502520,N/A,509500,9300,0,360253,4142326,N/A,7062993,N/A,715,6342,960888,95,905793,95,3215104,349323,1722720,4076029,85.3,3768170,10988984,229987,331839,4314618,81.6,3980002,75.3,11483641,217164,299840,2439734,61,2439676,61.3,2396129,63.6,2279853,65.4,769758,85,N/A,717922,51.3,467228,60.7,N/A,N/A
Missouri,13931505,226993,292259,9747733,158824,8902758,186764,4181696,68.1,3759422,78.9,3552635,57.9,3213407,67.4,8212545,N/A,5268660,N/A,438500,11800,0,253434,3515878,N/A,5975381,N/A,414,2626,1040724,95,924737,87.1,2955446,278281,1311770,4010432,76.6,3427275,9423791,179991,266086,4158807,72.1,3544207,61.4,9705497,168225,241475,1613913,45.4,1613792,45.5,1596037,46.6,1541616,48,638176,69,N/A,405742,38.1,287097,45,N/A,N/A
Northern Mariana Islands,137830,265819,382065,113744,219367,91889,254717,46167,89,35926,95,43685,84.3,34320,95,106110,N/A,27820,N/A,3700,200,0,1396,15654,N/A,96684,N/A,1,9,3271,87.1,3143,83.7,9473,252344,3671550,41359,95,39501,104367,246789,325916,45947,95,43651,90.7,113396,235741,286537,22769,52.1,22769,52.2,22489,56.9,20623,60.1,2498,79.5,N/A,1688,16.9,642,25.7,N/A,N/A
Mississippi,6560515,220436,288049,4111818,138159,3794781,166616,1817797,61.1,1652202,72.5,1583673,53.2,1448737,63.6,3719755,N/A,2602760,N/A,233000,5000,0,95097,1652985,N/A,2359213,N/A,102,4421,452682,93,415763,85.4,1239726,254724,1347980,1767521,70.1,1545145,4018738,159384,260191,1814763,65,1582997,56.7,4107216,147071,234919,634919,40.1,634911,40.1,631435,40.9,616216,42.5,272542,65.6,N/A,129639,28.2,90539,33.2,N/A,N/A
Montana,2404195,224948,286149,1734425,162281,1594494,189778,716576,67,646575,77,622831,58.3,566225,67.4,1325595,N/A,966600,N/A,106300,5700,0,62469,723375,N/A,945900,N/A,119,2562,201173,95,181554,87.9,590310,285952,1164610,687582,74.9,601571,1680667,183159,262010,713140,70.8,621845,61.7,1728887,171581,238601,314251,50.5,314233,50.5,311910,51.8,302752,53.5,132062,72.7,N/A,83279,39.5,60865,46.1,N/A,N/A
North Carolina,26791620,255448,327231,18256621,174070,16526546,201854,9327449,88.9,8401500,95,6793751,64.8,6126461,74.8,15807940,N/A,10002080,N/A,949700,31900,0,522274,6797884,N/A,10934284,N/A,994,1185,2372363,95,1745530,95,5153444,294299,1529990,8957352,95,6540154,17577408,195619,298164,9281822,94,6777220,68.6,18176665,184006,271217,2030642,29.9,2030590,30,2003228,30.6,1926693,31.4,753550,43.2,N/A,353462,27,233151,30.9,N/A,N/A
North Dakota,1676800,220035,288164,1201318,157640,1089701,187269,516724,67.8,464037,79.7,436647,57.3,395345,67.9,1006580,N/A,614720,N/A,53600,1900,0,39990,434696,N/A,726200,N/A,110,322,124529,95,106629,89,342529,285810,1399140,493211,77.4,420080,1152949,180927,263132,513238,72.5,435974,61.6,1195341,168843,236849,202074,46.3,202070,46.3,199619,47.5,192643,48.7,76864,72.1,N/A,39580,31,28152,36.6,N/A,N/A
Nebraska,4842340,250327,332046,3489100,180370,3121165,214023,1396070,72.2,1223717,83.9,1260587,65.2,1111147,76.2,3028760,N/A,1657280,N/A,151900,4400,0,95936,1237821,N/A,2146422,N/A,209,8712,314066,95,293425,93.9,988057,316221,1549760,1322940,81.8,1200940,3342075,206632,299389,1387332,76.9,1256838,69.7,3474272,192638,268493,677307,53.7,677230,53.9,666004,55.5,635064,57.2,231989,79.1,N/A,161952,40.2,110775,47.8,N/A,N/A
New Hampshire,4402700,323797,398630,2649747,194876,2422882,219373,1151307,84.7,1041731,94.3,946968,69.6,864125,78.2,2749460,N/A,1461640,N/A,188200,3400,0,89290,1010392,N/A,1549607,N/A,181,277,293483,95,248479,95,779171,306925,1734280,1107321,92.4,916528,2570183,214438,367330,1145472,88.4,945094,72.9,2640469,203726,339691,475978,50.3,475975,50.4,472372,51.5,453410,52.5,164389,66.2,N/A,113666,37.3,75682,46,N/A,N/A
New Jersey,26328815,296423,379180,18625366,209693,16653755,239843,8267888,93.1,7297814,95,6911472,77.8,6093478,87.8,15904675,N/A,9390740,N/A,1005200,28200,0,583173,7027780,N/A,11012888,N/A,926,599,1657943,95,1411763,95,4451188,301666,1784360,7873849,95,6594052,17878875,234681,345596,8226534,95,6892268,82.4,18554496,221745,314656,3487026,50.5,3486805,50.6,3448912,52.3,3285223,53.9,1000443,70.9,N/A,688707,35,436273,43.6,N/A,N/A
New Mexico,5400945,257577,333188,4341593,207055,3882300,239502,1918348,91.5,1675750,95,1541578,73.5,1353497,83.5,3106245,N/A,2099700,N/A,190100,4900,0,120726,1752628,N/A,2455197,N/A,922,12120,448555,95,370858,95,1215446,321882,1430310,1817305,95,1470179,4164043,232962,302162,1907394,95,1538388,77.9,4324456,218866,273349,815541,52.9,815352,53,802686,54.6,762308,56.3,264308,71.3,N/A,215146,45.2,141067,53.4,N/A,N/A
Nevada,6963210,226067,291651,5253947,170574,4797753,200952,2386113,77.5,2149988,90.1,1924804,62.5,1742764,73,4345310,N/A,2353800,N/A,259900,4200,0,188884,1798091,N/A,3266152,N/A,251,569,520484,95,432524,87.2,1369097,276043,1403950,2307729,88,1865654,5107083,194793,265589,2380818,82.3,1923074,66.4,5244531,181184,240560,796259,41.4,796257,41.4,790746,42.4,765340,43.9,283065,65.4,N/A,179964,35.8,122774,43.4,N/A,N/A
New York State,54596595,280651,353943,42314165,217514,38230073,247841,18042942,92.7,16071475,95,15420895,79.3,13747741,89.1,33530715,N/A,19098880,N/A,1945100,21900,0,1453142,15272457,N/A,25553510,N/A,1683,33373,3557759,95,3134600,95,10019839,303987,1656380,17225170,95,14760291,40722348,242782,325499,17948909,95,15383079,83.9,42149698,229992,297910,7357935,47.7,7357610,47.8,7280626,49.3,6978185,50.8,2183821,69.7,N/A,1436302,34.4,944759,43.3,N/A,N/A
Ohio,27856255,238310,305740,19511642,166922,17836099,195763,7579895,64.8,6801679,74.7,6975823,59.7,6297402,69.1,16597915,N/A,10231940,N/A,1006400,20000,0,634363,7364059,N/A,11490050,N/A,1165,22005,1917492,93.7,1815835,88.7,6021412,294256,1361290,7250385,72.5,6709800,18846394,188451,278543,7532555,68.5,6958051,63.3,19422871,176599,253278,3839673,55,3839605,55.2,3797264,56.6,3662371,58.2,1425849,78.5,N/A,996824,40.3,681123,47.8,N/A,N/A
Oklahoma,8665460,218992,288394,6362944,160803,5832278,194103,2900925,73.3,2627951,87.5,2345583,59.3,2126764,70.8,4704880,N/A,3604880,N/A,336800,18900,0,156824,2555876,N/A,3642818,N/A,403,7023,700739,95,579330,91.2,1818086,286253,1364360,2810136,84.5,2277087,6194088,186276,260598,2893300,78.2,2343037,63.3,6350391,171566,234111,940495,40.1,940489,40.1,933447,41,905764,42.6,374923,64.7,N/A,201736,32.2,144653,38.6,N/A,N/A
Oregon,12335585,292469,368097,8581519,203463,7752224,231329,3374815,80,2991482,89.3,3002851,71.2,2684016,80.1,7335625,N/A,4518460,N/A,465600,15900,0,278537,3161796,N/A,5119541,N/A,651,20994,772278,95,712782,93,2416918,315492,1610220,3204754,87.9,2876498,8243170,225978,338168,3351896,84,2996750,75.1,8543410,214125,309168,1705952,56.8,1705931,56.9,1677525,58.3,1600008,59.6,562477,78.9,N/A,474511,49.3,318768,56.7,N/A,N/A
Pennsylvania,37474685,292725,368578,25270026,197391,22887881,225111,11297741,88.2,10132874,95,9132032,71.3,8203797,80.7,21656265,N/A,14221520,N/A,1559400,37500,0,794170,9727972,N/A,14744837,N/A,1144,1903,2821496,95,2368104,95,7547666,315358,1565780,10795567,95,8744340,24278744,219092,338172,11224805,92.7,9094900,75.1,25134651,207655,309604,4143406,45.4,4143123,45.6,4086571,46.7,3929262,47.9,1572778,66.4,N/A,985201,36.5,682951,43.4,N/A,N/A
